"RT1","RT2","RT3","RT4","RT5","RT6","RT7","RT8","RT9","RT10","RT11","RT12","RT13","RT14","RT15","RT16","RT17","RT18","RT19","RT20","RT21","RT22","RT23","RT24","RT25","RT26","RT27","RT28","RT29","RT30","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","group","id"
68.3876925152847,16.372181964818,26.275730158048,21.4950928414669,24.3301214137965,17.6250172999083,8.91149837354349,58.5098976279149,19.4432267272651,18.5348525959635,20.5075636894951,21.0754319254583,22.2708250195382,97.8670341985699,19.5112827510067,28.6645843721715,55.7887611160479,33.246690168151,34.5944202165026,21.9913842492909,31.4703413241722,60.6439848938174,21.7674849084828,6.63860963898067,79.232491093576,50.216648960956,73.9880476304068,41.9060331466629,53.9414397398703,34.0135324577312,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
198.306716250691,56.0154172915174,68.5108496903457,27.9066954021685,72.9882373368993,48.788494578842,13.2101469706048,24.504997421142,84.6071019079237,17.5097493650031,20.4381480653384,8.98179713555402,36.3161301895023,63.4986138491085,23.1296188182942,38.1043221533702,48.855524830347,54.5811783418318,21.4683256272084,9.78302062190934,94.5465224799353,101.161894635945,34.7829382839381,30.7670922006637,9.69551688096658,62.8535182942757,69.6870008363685,50.3827332959319,46.9900061515234,10.3648770197438,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,2
33.5232066827449,14.3944952958173,42.9512545831258,41.8192814835202,117.782729164613,10.9151970865507,131.985775240911,11.7176879649689,38.8696922092911,26.2909426201343,20.8996459174875,11.9944944622824,24.6826097880525,41.9014697091285,20.7807972207698,152.943956111607,22.7625953536114,33.4902684801417,19.3344172344331,33.8832835703077,30.4371484054603,34.4196328417421,27.1158004065795,29.4101381690072,52.6305364994266,56.1091861857963,55.6169440327744,20.6389355036155,54.7942247332345,31.4600706833199,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,3
42.2283674955263,15.0336276656175,49.1980150989577,43.4922408871547,39.7633151968983,63.4160590562717,16.6785808070779,63.1941097274477,20.6577179049882,71.8762523127743,25.9605043967516,28.9281885536937,17.1246173401808,63.9317385896187,38.9902723959978,28.6331274558495,18.8237334469389,18.5001931086014,17.091263017087,40.3617212145797,18.4908476263311,47.2561895522227,23.3940389545689,54.8345147458093,131.902101670143,21.9231731054178,37.7997937296888,34.460351270118,41.1794807915593,36.1058432416261,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,4
12.0903632418832,34.5921851856051,32.173208008803,55.221961302821,105.046604774309,17.5151715120315,14.1798174565251,15.8708269534088,45.3774177021235,6.90238685668416,42.2190933656595,18.207767453134,6.59765490743017,44.3119793862192,22.7502753461758,117.704119926835,98.5336188804604,25.4468946210984,53.3322317226196,27.1559474294424,79.1256350719017,39.0595066889622,39.0834108773347,133.479197784249,29.6798701221016,53.6500086347764,41.5161681373629,75.07586137306,57.258037539363,17.7468450295475,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,5
137.364665081261,27.6915162224879,40.6745028192258,27.7900482523708,66.5587146833568,34.6280837485894,51.9867044375958,7.25026338033666,21.5250813471369,5.80194690103807,31.8322047032535,8.10441989981858,8.89292358450699,53.4595405722355,19.352313035152,24.0912251038903,45.1918956418015,11.2844016243904,14.6760904285836,19.5740471286007,21.1752362566787,49.8612212966243,13.7652059254225,45.3458077674362,14.6298212089072,23.6730739660373,35.5189443118113,20.0769243462743,69.1232249735142,19.3640703358803,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,6
16.8603615397275,11.4095295239798,45.6019517891341,36.6239568996939,90.9947001025911,34.7506096355287,9.51764996099716,8.2380388883082,19.9898641810821,15.6425745965489,15.6108047284207,34.172590789933,21.7017890610809,22.5484309675346,62.1873026352556,33.8365710113534,53.3720962998448,38.0799531335002,33.4566707684194,23.2269913024532,29.3236019547833,33.558370170185,33.8927859630138,71.3085235737407,54.8784691180038,17.0509986100629,30.1894732519275,36.7223647420351,115.663195457337,15.0703647438373,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7
84.4736487548377,19.429603469313,52.6555385052454,37.5932668983936,25.1871902853643,132.905096130152,53.3699693591432,11.5019198163158,24.8940975269455,9.47483404740982,14.344911904359,13.8803474321301,53.3660894694835,23.4338691620949,45.8993586317088,52.5428799807991,45.8553708712808,20.5720926243033,16.1220642918342,13.0229850354071,40.2628367765997,35.9606148919303,30.285800214347,19.5707967523358,35.5630654827424,42.5218525625751,80.1259684394939,23.2242275651445,36.3832971481512,44.1483396714939,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,8
37.3177968677409,56.0412651679766,62.6426287694644,70.8926543225686,105.530911842071,14.2134545817811,48.4228088188308,33.8657526395802,37.8234572876311,22.5294397560546,16.2143514016082,6.10074475170196,8.31956986976609,32.9452510058303,19.6348000233981,42.0395725432539,42.3522120746724,39.4650722313908,13.935951844614,14.3089341816514,44.14373186968,44.3971041035489,49.0431605676192,10.5652911791979,81.0189945781804,54.5281146794993,94.5126661935054,53.6051065026619,17.9982597156669,45.4988757896162,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,9
15.4163529800624,20.9242302320844,32.9134806653333,33.0111304826239,114.885313814341,24.2521156210565,101.001518914321,18.6984984275012,53.4557548314333,19.5686131962741,37.7946751506602,31.4313438398626,16.8552098030757,70.3089491826051,65.5183218115187,42.2031355941247,12.8391944942833,28.5907472329144,49.5204554756591,21.9630723577069,97.9504250921942,30.0166707625589,30.600466132766,29.7403266162613,19.5580264560234,33.4535232157229,29.1139448113088,27.4379128703738,20.0192545242668,22.6499625878852,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,10
12.5669270082684,12.2267878565562,41.9181664200493,37.2609951342582,67.3088195012036,6.67070717867925,19.1213955920757,40.9283493331263,27.7838233073163,18.7334363726332,27.1405368056648,17.4776238110043,16.6741560105836,15.4193915655137,28.5062426668408,62.5467139179848,70.2862248665979,23.2805210689825,59.4926101754477,15.8753187986731,35.3455965692888,36.6299509331672,14.6970849876521,22.0659097871497,37.0853799460333,39.6523837353919,26.823837482608,63.5368812463843,23.8605197826774,22.7475142723338,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,11
40.3675435225689,16.2093087887858,16.6381390724137,120.973265013469,73.2225802666821,57.0485419680717,12.2160630108167,15.8310365661237,46.8103447297901,57.741513083396,25.6643526486801,41.9507350819203,21.7290504526566,31.7037329905031,33.1587621431506,34.914055219784,37.0230600547301,48.0720070575157,24.5325704228435,43.3142768034383,45.7624434343762,89.776682332124,18.4344482620669,22.7812288596707,10.0723412192839,20.2172385367144,40.5332934352029,24.0751874323426,18.6357049465886,29.470861607132,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12
